# ElectronIx Tool Store — demo catalog for a small CNC job shop.
#
# Edit this file and re-run `store-cli seed` to change the demo. Nothing here
# is real stock; it exists so the terminal, the alerts and the reports have
# something believable to work on before your own catalog is loaded.
#
# Rules: no commas in any field (use a dash), blank means NULL, lines starting
# with # are ignored. Quantities are numeric(12,3) and money numeric(12,2).
#
# Opening quantities are deliberately uneven — a few items sit below their
# reorder level and two are at zero, so the alert console and the tablet banner
# have something to show on day one rather than a wall of green.

item_code,description,category,uom,iso_code,grade,manufacturer,mfr_part_no,diameter_mm,flutes,reorder_level,reorder_qty,bin_location,unit_cost,opening_qty,barcode
RCMT1204MO-KC5010,RCMT 1204MO round insert - copy turning,Turning inserts,NOS,RCMT1204MO,KC5010,Kennametal,KM-RCMT1204MO,,,8,30,A-03-4,215.00,12,

# ── Milling inserts ──────────────────────────────────────────────────
APKT1604PDFR-TT9080,APKT 1604PDFR milling insert - face milling,Milling inserts,NOS,APKT1604PDFR,TT9080,Taegutec,TT-APKT1604,,,20,80,B-01-1,168.00,96,8901234500141
APKT1003PDFR-TT9080,APKT 1003PDFR milling insert - shoulder milling,Milling inserts,NOS,APKT1003PDFR,TT9080,Taegutec,TT-APKT1003,,,16,60,B-01-2,142.00,58,
SEET12T3AGSN-TT8020,SEET 12T3AGSN milling insert - face milling,Milling inserts,NOS,SEET12T3AGSN,TT8020,Taegutec,TT-SEET12T3,,,16,60,B-01-3,196.00,41,
SEKT1204AFTN-KC725M,SEKT 1204AFTN milling insert - general purpose,Milling inserts,NOS,SEKT1204AFTN,KC725M,Kennametal,KM-SEKT1204,,,12,50,B-01-4,224.00,28,
ADKT150532R-TT9080,ADKT 150532R milling insert - high feed,Milling inserts,NOS,ADKT150532R,TT9080,Taegutec,TT-ADKT1505,,,12,40,B-02-1,238.00,15,
RPMT1204MO-TT8020,RPMT 1204MO round insert - copy milling,Milling inserts,NOS,RPMT1204MO,TT8020,Taegutec,TT-RPMT1204,,,10,40,B-02-2,205.00,22,
LNMU0303ZER-MP6120,LNMU 0303ZER high feed insert,Milling inserts,NOS,LNMU0303ZER,MP6120,Mitsubishi,MI-LNMU0303,,,10,40,B-02-3,262.00,6,
XOMX090308TR-M12,XOMX 090308TR milling insert - shoulder,Milling inserts,NOS,XOMX090308TR,M12,Seco,SE-XOMX0903,,,10,40,B-02-4,248.00,18,
TPKN2204PDTR-TN60,TPKN 2204PDTR milling insert - face mill,Milling inserts,NOS,TPKN2204PDTR,TN60,Widia,WD-TPKN2204,,,8,30,B-03-1,232.00,14,

# ── Solid carbide and HSS milling ────────────────────────────────────
EM-04-4F-TIALN,4mm 4-flute carbide end mill - TiAlN coated,Milling tools,NOS,,,OSG,OSG-EM04-4F,4.000,4,6,20,C-01-1,620.00,14,
EM-06-4F-TIALN,6mm 4-flute carbide end mill - TiAlN coated,Milling tools,NOS,,,OSG,OSG-EM06-4F,6.000,4,5,20,C-01-2,890.00,18,8901234500240
EM-08-4F-TIALN,8mm 4-flute carbide end mill - TiAlN coated,Milling tools,NOS,,,OSG,OSG-EM08-4F,8.000,4,5,15,C-01-3,1180.00,11,
EM-10-4F-TIALN,10mm 4-flute carbide end mill - TiAlN coated,Milling tools,NOS,,,YG-1,YG-EM10-4F,10.000,4,4,12,C-01-4,1420.00,9,
EM-12-4F-TIALN,12mm 4-flute carbide end mill - TiAlN coated,Milling tools,NOS,,,OSG,OSG-EM12-4F,12.000,4,4,10,C-02-1,1780.00,7,
EM-16-4F-TIALN,16mm 4-flute carbide end mill - TiAlN coated,Milling tools,NOS,,,YG-1,YG-EM16-4F,16.000,4,3,8,C-02-2,2650.00,4,
EM-20-4F-TIALN,20mm 4-flute carbide end mill - TiAlN coated,Milling tools,NOS,,,YG-1,YG-EM20-4F,20.000,4,2,6,C-02-3,3850.00,0,
EM-06-2F-ALU,6mm 2-flute carbide end mill - polished for aluminium,Milling tools,NOS,,,Guhring,GU-EM06-2F,6.000,2,4,12,C-02-4,960.00,10,
EM-12-3F-ALU,12mm 3-flute carbide end mill - for aluminium,Milling tools,NOS,,,Guhring,GU-EM12-3F,12.000,3,3,8,C-03-1,2100.00,5,
BN-06-2F-TIALN,6mm 2-flute carbide ball nose end mill,Milling tools,NOS,,,OSG,OSG-BN06-2F,6.000,2,4,12,C-03-2,1050.00,8,
BN-10-2F-TIALN,10mm 2-flute carbide ball nose end mill,Milling tools,NOS,,,OSG,OSG-BN10-2F,10.000,2,3,8,C-03-3,1680.00,6,
EM-25-4F-ROUGH,25mm 4-flute roughing end mill - ripper,Milling tools,NOS,,,Miranda,MR-EM25-RGH,25.000,4,2,4,C-03-4,4200.00,3,
SLOT-06-HSS,6mm 2-flute HSS slot drill,Milling tools,NOS,,,Addison,AD-SD06,6.000,2,6,20,C-04-1,240.00,22,
CHAM-12-90,12mm 90 degree carbide chamfer mill,Milling tools,NOS,,,YG-1,YG-CH12-90,12.000,4,3,6,C-04-2,1350.00,5,
FM-63-5T,63mm face mill body - 5 insert - APKT1604,Milling tools,NOS,,,Widia,WD-FM63-5,63.000,5,1,2,C-05-1,8600.00,3,
FM-80-6T,80mm face mill body - 6 insert - SEET12T3,Milling tools,NOS,,,Widia,WD-FM80-6,80.000,6,1,2,C-05-2,11200.00,2,

# ── Drilling ─────────────────────────────────────────────────────────
DR-3.3-HSS,3.3mm HSS jobber drill - tapping size M4,Drilling,NOS,,,Addison,AD-JD033,3.300,2,15,50,D-01-1,42.00,64,
DR-4.2-HSS,4.2mm HSS jobber drill - tapping size M5,Drilling,NOS,,,Addison,AD-JD042,4.200,2,15,50,D-01-2,48.00,52,
DR-5.0-HSS,5.0mm HSS jobber drill - tapping size M6,Drilling,NOS,,,Addison,AD-JD050,5.000,2,15,50,D-01-3,54.00,47,8901234500387
DR-6.8-HSS,6.8mm HSS jobber drill - tapping size M8,Drilling,NOS,,,Addison,AD-JD068,6.800,2,12,40,D-01-4,68.00,38,
DR-8.5-HSS,8.5mm HSS jobber drill - tapping size M10,Drilling,NOS,,,Addison,AD-JD085,8.500,2,10,25,D-02-1,86.00,30,
DR-10.2-HSS,10.2mm HSS jobber drill - tapping size M12,Drilling,NOS,,,Addison,AD-JD102,10.200,2,10,25,D-02-2,124.00,21,
DR-14.0-HSS,14.0mm HSS jobber drill,Drilling,NOS,,,Addison,AD-JD140,14.000,2,6,15,D-02-3,268.00,9,
DR-20.0-HSS,20.0mm HSS taper shank drill,Drilling,NOS,,,Addison,AD-TS200,20.000,2,4,8,D-02-4,620.00,5,
DR-06-CARB,6mm solid carbide drill - 3xD coolant through,Drilling,NOS,,,Guhring,GU-CD06-3D,6.000,2,4,10,D-03-1,1450.00,7,
DR-10-CARB,10mm solid carbide drill - 3xD coolant through,Drilling,NOS,,,Guhring,GU-CD10-3D,10.000,2,3,8,D-03-2,2380.00,4,
DR-12-CARB,12mm solid carbide drill - 5xD coolant through,Drilling,NOS,,,Guhring,GU-CD12-5D,12.000,2,2,6,D-03-3,3260.00,2,
CD-A3-HSS,A3 HSS centre drill,Drilling,NOS,,,Totem,TO-CDA3,3.150,2,10,30,D-04-1,88.00,26,
CD-A4-HSS,A4 HSS centre drill,Drilling,NOS,,,Totem,TO-CDA4,4.000,2,10,30,D-04-2,96.00,18,
SPOT-90-10,10mm 90 degree carbide spotting drill,Drilling,NOS,,,YG-1,YG-SP10-90,10.000,2,3,8,D-04-3,1120.00,5,

# ── Threading ────────────────────────────────────────────────────────
TAP-M4-HSS,M4 x 0.7 HSS machine tap,Threading,NOS,,,Totem,TO-TM04,4.000,3,10,25,E-01-1,148.00,22,
TAP-M5-HSS,M5 x 0.8 HSS machine tap,Threading,NOS,,,Totem,TO-TM05,5.000,3,10,25,E-01-2,162.00,19,
TAP-M6-HSS,M6 x 1.0 HSS machine tap,Threading,NOS,,,Totem,TO-TM06,6.000,3,10,25,E-01-3,178.00,24,8901234500509
TAP-M8-HSS,M8 x 1.25 HSS machine tap,Threading,NOS,,,Totem,TO-TM08,8.000,3,8,20,E-01-4,224.00,16,
TAP-M10-HSS,M10 x 1.5 HSS machine tap,Threading,NOS,,,Totem,TO-TM10,10.000,3,6,12,E-02-1,315.00,8,
TAP-M12-HSS,M12 x 1.75 HSS machine tap,Threading,NOS,,,Totem,TO-TM12,12.000,3,6,12,E-02-2,398.00,5,
TAP-M16-HSS,M16 x 2.0 HSS machine tap,Threading,NOS,,,Totem,TO-TM16,16.000,4,4,8,E-02-3,685.00,3,
TAP-M10-CARB,M10 x 1.5 carbide spiral flute tap,Threading,NOS,,,OSG,OSG-SFT10,10.000,3,3,6,E-02-4,1280.00,2,
16ER-AG60-TT9030,16ER AG60 external threading insert - 60 degree,Threading,NOS,16ERAG60,TT9030,Taegutec,TT-16ERAG60,,,10,40,E-03-1,214.00,26,
16IR-AG60-TT9030,16IR AG60 internal threading insert - 60 degree,Threading,NOS,16IRAG60,TT9030,Taegutec,TT-16IRAG60,,,8,30,E-03-2,238.00,11,
DIE-M10-HSS,M10 x 1.5 HSS round split die,Threading,NOS,,,Totem,TO-DIE10,10.000,,4,8,E-03-3,265.00,6,

# ── Boring and reaming ───────────────────────────────────────────────
RM-08H7-HSS,8mm H7 HSS machine reamer,Boring and reaming,NOS,,,Totem,TO-RM08H7,8.000,6,4,8,F-01-1,485.00,7,
RM-10H7-HSS,10mm H7 HSS machine reamer,Boring and reaming,NOS,,,Totem,TO-RM10H7,10.000,6,4,8,F-01-2,562.00,5,
RM-12H7-CARB,12mm H7 solid carbide reamer,Boring and reaming,NOS,,,Guhring,GU-RM12H7,12.000,6,2,4,F-01-3,3150.00,2,
BB-16-SCLCR,16mm boring bar - SCLCR - for CCMT09,Boring and reaming,NOS,,,Widia,WD-S16Q-SCLCR09,16.000,,1,2,F-02-1,2850.00,3,
BB-20-SCLCR,20mm boring bar - SCLCR - for CCMT09,Boring and reaming,NOS,,,Widia,WD-S20R-SCLCR09,20.000,,1,2,F-02-2,3200.00,2,
BORE-HEAD-50,50mm fine boring head - BT40 shank,Boring and reaming,NOS,,,Miranda,MR-BH50,50.000,,1,1,F-02-3,12500.00,1,

# ── Toolholding ──────────────────────────────────────────────────────
BT40-ER32-100,BT40 ER32 collet chuck - 100mm gauge,Toolholding,NOS,,,Miranda,MR-BT40ER32-100,,,2,4,G-01-1,4850.00,6,
BT40-ER25-070,BT40 ER25 collet chuck - 70mm gauge,Toolholding,NOS,,,Miranda,MR-BT40ER25-070,,,2,4,G-01-2,4200.00,4,
BT40-FMB22-60,BT40 face mill arbor - 22mm - 60mm gauge,Toolholding,NOS,,,Miranda,MR-BT40FMB22,,,1,2,G-01-3,3650.00,3,
COL-ER32-10,ER32 collet - 10mm,Toolholding,NOS,,,Vertex,VX-ER32-10,10.000,,3,6,G-02-1,420.00,8,
COL-ER32-12,ER32 collet - 12mm,Toolholding,NOS,,,Vertex,VX-ER32-12,12.000,,3,6,G-02-2,420.00,6,
COL-ER32-16,ER32 collet - 16mm,Toolholding,NOS,,,Vertex,VX-ER32-16,16.000,,3,6,G-02-3,460.00,5,
MCLNR2525M12,MCLNR 2525 M12 external turning holder,Toolholding,NOS,MCLNR2525M12,,Widia,WD-MCLNR2525,25.000,,1,2,G-03-1,3450.00,4,
PCLNR2525M12,PCLNR 2525 M12 external turning holder,Toolholding,NOS,PCLNR2525M12,,Widia,WD-PCLNR2525,25.000,,1,2,G-03-2,3380.00,3,
SCLCR2020K09,SCLCR 2020 K09 external turning holder,Toolholding,NOS,SCLCR2020K09,,Widia,WD-SCLCR2020,20.000,,1,2,G-03-3,2950.00,2,
PULL-STUD-BT40,BT40 pull stud - 45 degree,Toolholding,NOS,,,Vertex,VX-PS-BT40,,,4,10,G-04-1,320.00,12,

# ── Consumables ──────────────────────────────────────────────────────
COOL-SYN-20L,Synthetic cutting coolant concentrate - 20 L,Consumables,LTR,,,Houghton,HO-SYN20,,,40,200,H-01-1,480.00,160.500,
COOL-SEMI-20L,Semi-synthetic cutting coolant concentrate - 20 L,Consumables,LTR,,,Castrol,CA-SEMI20,,,40,200,H-01-2,520.00,72.250,
OIL-NEAT-5L,Neat cutting oil for tapping - 5 L,Consumables,LTR,,,Castrol,CA-NEAT5,,,10,40,H-01-3,610.00,17.500,
GREASE-EP2-1KG,EP2 lithium grease - 1 kg,Consumables,KG,,,Shell,SH-EP2,,,4,12,H-01-4,420.00,6,
WAY-OIL-68-5L,Slideway oil ISO 68 - 5 L,Consumables,LTR,,,Shell,SH-WAY68,,,10,40,H-02-1,540.00,22.750,
DEBURR-BLADE-E100,Deburring blade E100 - pack of 10,Consumables,BOX,,,Noga,NO-BE100,,,3,10,H-02-2,680.00,4,
FLAP-DISC-100,100mm flap disc - 80 grit,Consumables,NOS,,,Cumi,CU-FD100-80,100.000,,10,30,H-02-3,68.00,26,
CUT-DISC-100,100mm cutting disc - 1mm,Consumables,NOS,,,Cumi,CU-CD100,100.000,,15,50,H-02-4,32.00,44,
EMERY-120,Emery cloth sheet - 120 grit,Consumables,NOS,,,Cumi,CU-EM120,,,25,100,H-03-1,18.00,0,
WD40-500ML,Penetrating spray - 500 ml,Consumables,NOS,,,WD-40,WD-500,,,6,24,H-03-2,385.00,9,
GLOVE-CUT5-L,Cut resistant gloves level 5 - large - pair,Consumables,NOS,,,Karam,KA-CG5L,,,10,40,H-03-3,165.00,14,
WIPE-COTTON-1KG,Cotton wiping rags - 1 kg,Consumables,KG,,,Generic,GEN-RAG,,,10,30,H-03-4,95.00,18,
